,Names,Personality traits,images
40,"
41. 
 Tom Alter
 ",https://www.imdb.com/name/nm0000821//name/nm0439784,"https://m.media-amazon.com/images/M/MV5BMjk1NDI0ZjEtMDMwOS00ZTY5LTk3NTEtODYxZWZlNTE4OTZmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR7,0,140,209_AL_.jpg"
41,"
42. 
 Utpal Dutt
 ",https://www.imdb.com/name/nm0000821//name/nm0244870/,"https://m.media-amazon.com/images/M/MV5BMDFiNjgzNGQtMmZkMy00NzNmLWE2MDItYzMzMWQ0ZmE3Yzg4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR91,0,140,209_AL_.jpg"
42,"
43. 
 Vinay Pathak
 ",https://www.imdb.com/name/nm0000821//name/nm0244870,"https://m.media-amazon.com/images/M/MV5BMTgxODI1NTI2MV5BMl5BanBnXkFtZTgwODgxODYyNjE@._V1_UY209_CR86,0,140,209_AL_.jpg"
43,"
44. 
 Vinod Khanna
 ",https://www.imdb.com/name/nm0000821//name/nm1946407/,"https://m.media-amazon.com/images/M/MV5BMGNlOWMyNDUtMjYzZi00YmE2LThjNTItMjFiOTA3YzBkZjZmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR12,0,140,209_AL_.jpg"
44,"
45. 
 Vivek Oberoi
 ",https://www.imdb.com/name/nm0000821//name/nm1946407,"https://m.media-amazon.com/images/M/MV5BMjA0NjYxODI4MF5BMl5BanBnXkFtZTgwMDcwMDMzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
45,"
46. 
 Shabana Azmi
 ",https://www.imdb.com/name/nm0000821//name/nm3477013,"https://m.media-amazon.com/images/M/MV5BMTQ1NTE0NDgxMl5BMl5BanBnXkFtZTYwNzMyODEz._V1_UY209_CR19,0,140,209_AL_.jpg"
46,"
47. 
 Jaya Bachchan
 ",https://www.imdb.com/name/nm0000821//name/nm0451234/,"https://m.media-amazon.com/images/M/MV5BMTk3NzU1MjA0N15BMl5BanBnXkFtZTYwOTQ0NzEz._V1_UY209_CR29,0,140,209_AL_.jpg"
47,"
48. 
 Preity Zinta
 ",https://www.imdb.com/name/nm0000821//name/nm0451234,"https://m.media-amazon.com/images/M/MV5BNjM3NzY5ODkwNl5BMl5BanBnXkFtZTcwMDUwMDgxOA@@._V1_UY209_CR7,0,140,209_AL_.jpg"
48,"
49. 
 Asha Parekh
 ",https://www.imdb.com/name/nm0000821//name/nm0004335/,"https://m.media-amazon.com/images/M/MV5BNjJlMmNkNDgtYThhZS00NjUyLTg5NGQtNmViYWVkM2YwODcwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR9,0,140,209_AL_.jpg"
49,"
50. 
 Chitrangda Singh
 ",https://www.imdb.com/name/nm0000821//name/nm0004335,"https://m.media-amazon.com/images/M/MV5BMTcxMDg5MzQ4MV5BMl5BanBnXkFtZTcwNTMzMDMxNw@@._V1_UY209_CR87,0,140,209_AL_.jpg"
50,"
51. 
 Deepti Naval
 ",https://www.imdb.com/name/nm0000821//name/nm0420090/,"https://m.media-amazon.com/images/M/MV5BYjhjNWM1MmUtM2M3My00MWZmLWE5NDYtNTI5YTM3MWQwNGVhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg"
51,"
52. 
 Ratna Pathak Shah
 ",https://www.imdb.com/name/nm0000821//name/nm0420090,"https://m.media-amazon.com/images/M/MV5BMjQwMzc5NDQ0NF5BMl5BanBnXkFtZTgwNDg1ODA0OTE@._V1_UY209_CR0,0,140,209_AL_.jpg"
52,"
53. 
 Supriya Pathak
 ",https://www.imdb.com/name/nm0000821//name/nm0792116/,"https://m.media-amazon.com/images/M/MV5BNmJiMzUwNzQtNzg0MS00M2MzLWFkZDktNTQwMmYzODM1Y2U0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg"
53,"
54. 
 Gul Panag
 ",https://www.imdb.com/name/nm0000821//name/nm0792116,"https://m.media-amazon.com/images/M/MV5BZjMyZGViMmQtY2FkMi00NmQ2LTgwNzAtYmQ3MDJlMzIxNDdmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR2,0,140,209_AL_.jpg"
54,"
55. 
 Kajol
 ",https://www.imdb.com/name/nm0000821//name/nm0352032/,"https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY209_CR4,0,140,209_AL_.jpg"
55,"
56. 
 Mahie Gill
 ",https://www.imdb.com/name/nm0000821//name/nm0352032,"https://m.media-amazon.com/images/M/MV5BMjI4ODU1NTU1MF5BMl5BanBnXkFtZTgwMzM4NDczMDE@._V1_UY209_CR86,0,140,209_AL_.jpg"
56,"
57. 
 Priyanka Chopra
 ",https://www.imdb.com/name/nm0000821//name/nm0451425/,"https://m.media-amazon.com/images/M/MV5BMjAxNzUwNjExOV5BMl5BanBnXkFtZTcwNDUyMTUxNw@@._V1_UY209_CR70,0,140,209_AL_.jpg"
57,"
58. 
 Sadhana
 ",https://www.imdb.com/name/nm0000821//name/nm0451425,"https://m.media-amazon.com/images/M/MV5BN2Y0ZTE4MGYtOGZhYS00MmVjLWIxZDEtZmI5MzdhMjAzYjA1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR16,0,140,209_AL_.jpg"
58,"
59. 
 Sarika
 ",https://www.imdb.com/name/nm0000821//name/nm0534856/,"https://m.media-amazon.com/images/M/MV5BMDAxMDNhNDItMmE3ZS00YmJjLWE4M2ItNWFhZTI1YzljNjYzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR14,0,140,209_AL_.jpg"
59,"
60. 
 Sonali Kulkarni
 ",https://www.imdb.com/name/nm0000821//name/nm0534856,"https://m.media-amazon.com/images/M/MV5BNzE0ODM1MDgwOF5BMl5BanBnXkFtZTgwMDkxMjg0MDI@._V1_UY209_CR59,0,140,209_AL_.jpg"
60,"
61. 
 Tabu
 ",https://www.imdb.com/name/nm0000821//name/nm0048075/,"https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_UY209_CR1,0,140,209_AL_.jpg"
61,"
62. 
 Waheeda Rehman
 ",https://www.imdb.com/name/nm0000821//name/nm0048075,"https://m.media-amazon.com/images/M/MV5BMTQ4NzE2OTMyMl5BMl5BanBnXkFtZTcwOTc4MDEzMQ@@._V1_UY209_CR69,0,140,209_AL_.jpg"
62,List Activity,https://www.imdb.com/name/nm0000821//name/nm0624545,
63,Tell Your Friends,https://www.imdb.com/name/nm0000821//name/nm0007113/,
64,"
                        Other Lists by shhchnmy
                ",https://www.imdb.com/name/nm0000821//name/nm0007113,
65,Recently Viewed,https://www.imdb.com/name/nm0000821//name/nm0712546/,
